SYMBOL,"VOLUME 
(shares)","VALUE 
 (â‚¹ Billions)",30 D   %CHNG,"365 D % CHNG 
 20-Jun-2024"
NIFTY 50,"57,46,54,035",557.82,1.2,6.56
TRENT,"1,04,24,185",61.39,8.34,10.50
JIOFIN,"2,10,62,467",6.14,7.25,-19.50
M&M,"83,15,834",26.39,3.03,10.91
BHARTIARTL,"1,62,28,526",31.29,6.27,40.22
NESTLEIND,"1,14,70,597",27.06,-1.35,-7.06
HDFCLIFE,"52,56,299",4.09,2.53,32.00
POWERGRID,"3,30,14,151",9.66,-1.03,-9.69
RELIANCE,"2,90,10,635",42.43,2.59,-50.25
BEL,"12,25,52,435",49.94,6.59,30.89
SHRIRAMFIN,"74,41,267",4.95,1.27,-76.25
HDFCBANK,"1,64,50,204",32.25,1.97,17.69
ETERNAL,"5,02,01,710",12.66,10.16,-
HCLTECH,"27,19,770",4.72,5.32,20.54
SBIN,"1,13,67,669",9.03,1.15,-5.64
NTPC,"1,65,92,862",5.52,-3.16,-6.28
ADANIENT,"30,02,549",7.35,-2.08,-24.88
ADANIPORTS,"45,41,583",6.11,-2.55,-8.17
SBILIFE,"16,69,329",3.02,2.66,24.42
JSWSTEEL,"96,97,195",9.76,0.46,8.16
KOTAKBANK,"33,72,636",7.29,4.76,22.85
ICICIBANK,"1,24,08,178",17.7,-1.22,23.37
LT,"25,75,277",9.42,2.03,1.88
COALINDIA,"65,31,957",2.54,-4.02,-19.48
SUNPHARMA,"25,67,882",4.27,-3.85,13.20
INDUSINDBK,"2,09,61,217",17.61,9.13,-45.00
TECHM,"34,25,550",5.8,6.13,21.75
BAJAJ-AUTO,"5,67,646",4.73,-3.64,-13.09
APOLLOHOSP,"3,78,436",2.67,1.14,14.37
CIPLA,"19,17,041",2.88,1.17,-2.92
ASIANPAINT,"19,45,030",4.44,-1.15,-21.60
TATAMOTORS,"1,13,93,470",7.7,-6.96,-30.88
ULTRACEMCO,"6,29,895",7.22,-1.78,5.09
BAJAJFINSV,"19,31,248",3.83,-2.51,25.23
HINDALCO,"71,66,880",4.65,-2.09,-4.04
TATASTEEL,"2,99,44,714",4.55,-5.98,-16.63
GRASIM,"12,32,377",3.34,0.21,8.56
HINDUNILVR,"26,85,864",6.19,-2.44,-7.09
EICHERMOT,"7,76,879",4.29,2.14,13.29
ITC,"1,32,03,184",5.52,-3.34,-1.12
TATACONSUM,"20,84,108",2.28,-3.39,-0.28
BAJFINANCE,"1,43,20,241",12.88,-90.16,-87.44
TCS,"23,51,248",8.07,-2.56,-9.28
TITAN,"29,41,214",10.35,-1.72,2.42
WIPRO,"1,29,04,674",3.43,6.23,-45.65
INFY,"92,02,821",14.92,3.47,7.09
AXISBANK,"46,52,390",5.68,1.91,-1.52
ONGC,"1,59,07,673",4.0,1.29,-7.34
MARUTI,"6,52,128",8.34,1.4,5.28
DRREDDY,"18,43,895",2.44,8.21,-77.80
HEROMOTOCO,"11,59,015",5.0,1.75,-21.18
